,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,rel_filter_threshold,prop_drop
11,ade_bert_train,2022-03-27_07.55.04.274200,89.66155500371214,79.53216374269006,79.3859649122807,89.35974205435282,79.53216374269006,79.3859649122807,4,20,100,100,8e-05,0.0,0.4,0.2
12,ade_bert_train,2022-03-27_06.29.02.060656,89.1995496187113,78.33089311859442,78.33089311859442,88.85819521178637,78.33089311859442,78.33089311859442,4,20,100,100,8e-05,0.0,0.4,0.0
13,ade_bert_train,2022-03-27_00.57.34.203820,90.46766387733764,82.35294117647058,82.35294117647058,90.10584445467096,82.35294117647058,82.35294117647058,4,20,100,100,5e-05,0.0,0.4,0.1
14,ade_bert_train,2022-03-26_21.29.09.436457,89.8900717386746,79.4074074074074,79.4074074074074,89.55637707948244,79.4074074074074,79.4074074074074,4,20,100,100,2e-05,0.02,0.4,0.1
15,ade_bert_train,2022-03-27_03.53.18.737200,89.94186284964317,80.35062089116144,80.35062089116144,89.49308755760367,80.35062089116144,80.35062089116144,4,20,100,100,8e-05,0.02,0.4,0.2
16,ade_bert_train,2022-03-27_10.20.16.876222,89.9734373757982,81.26721763085398,81.12947658402204,89.64577656675749,81.26721763085398,81.12947658402204,4,20,100,100,1e-05,0.01,0.4,0.2
17,ade_bert_train,2022-03-27_00.14.20.485843,90.65156959676526,82.0817843866171,82.0817843866171,90.3016241299304,82.0817843866171,82.0817843866171,4,20,100,100,5e-05,0.0,0.4,0.0
18,ade_bert_train,2022-03-27_03.30.59.549845,89.25738203182043,78.92831281679942,78.92831281679942,88.83785025264125,78.92831281679942,78.92831281679942,4,20,100,100,8e-05,0.02,0.4,0.2
19,ade_bert_train,2022-03-26_23.52.34.880175,89.63110667996011,79.06637490882568,78.92049598832969,89.23499770957399,79.06637490882568,78.92049598832969,4,20,100,100,5e-05,0.0,0.4,0.0
20,ade_bert_train,2022-03-27_01.40.39.491982,91.040219602294,83.16400580551525,83.16400580551525,90.7083716651334,83.16400580551525,83.16400580551525,4,20,100,100,5e-05,0.0,0.4,0.2
21,ade_bert_train,2022-03-27_05.22.18.209286,90.30241180083524,81.2316715542522,81.2316715542522,89.98615597600369,81.2316715542522,81.2316715542522,4,20,100,100,8e-05,0.01,0.4,0.1
22,ade_bert_train,2022-03-27_07.12.05.203985,88.66558220076612,77.63837638376383,77.63837638376383,88.34412580943571,77.63837638376383,77.63837638376383,4,20,100,100,8e-05,0.0,0.4,0.1
23,ade_bert_train,2022-03-27_06.06.46.669511,89.39999150129606,79.91234477720964,79.91234477720964,89.01149425287356,79.91234477720964,79.91234477720964,4,20,100,100,8e-05,0.01,0.4,0.2
24,ade_bert_train,2022-03-27_02.02.08.030274,89.81946863272843,79.82391782831989,79.82391782831989,89.48339483394832,79.82391782831989,79.82391782831989,4,20,100,100,8e-05,0.02,0.4,0.0
25,ade_bert_train,2022-03-27_11.07.59.126315,89.74638664725288,80.21902806297058,80.21902806297058,89.4522408329561,80.21902806297058,80.21902806297058,4,20,100,100,3e-05,0.02,0.4,0.2
26,ade_bert_train,2022-03-27_08.16.42.113033,90.93045935335452,82.36973590292648,82.36973590292648,90.5780609922622,82.36973590292648,82.36973590292648,4,20,100,100,8e-05,0.0,0.4,0.2
27,ade_bert_train,2022-03-26_22.35.50.323202,90.8543162122959,82.06245461147422,82.06245461147422,90.5089408528198,82.06245461147422,82.06245461147422,4,20,100,100,2e-05,0.02,0.4,0.2
28,ade_bert_train,2022-03-26_20.32.43.103947,68.69061770792058,47.65564950038432,47.50192159877018,69.50819672131146,47.65564950038432,47.50192159877018,4,20,100,100,2e-05,0.02,0.4,0.0
