criterion,label,seq,index,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,model_path,eval_batch_size,rel_filter_threshold,prop_drop,runID,ner_f1_micro,ner_f1_macro,rel_f1_micro,rel_f1_macro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro,epoch,output_hidden_states,hidden_state_from_layer,f_score_beta
ner_f1_macro,conll04_rob_train,4,435,4,20,100,100,5e-05,0.0,roberta-base,1,0.5,0.2,2022-03-25_06.23.24.400353,86.74157303370788,83.17211009486635,67.82884310618066,69.29378587804236,67.19492868462757,74.0154659512349,65.35617471773078,68.64337937397733,20.0,,,
ner_f1_macro,conll04_rob_train_lvl,0,91,4,20,100,100,4e-05,0.0,roberta-base,1,0.5,0.0,2022-03-31_10.44.39.925787,84.71372984991663,80.70241733832201,65.85365853658537,68.09264155636647,65.54878048780488,71.32125856263787,65.42260333107015,67.88211524057701,20.0,True,8.0,
ner_f1_macro,docRed_bert_train_lvl,0,617,12,30,200,200,8e-05,0.1,bert-base-cased,12,0.5,0.2,2022-04-04_18.41.50.524935,99.85773692274022,99.80374418093896,90.01372010976087,64.97584472705805,90.01372010976087,69.0784246857942,58.71526550590185,64.97584472705805,30.0,False,11.0,0.5
ner_f1_macro,docRed_bert_train_lvl,1,623,12,30,200,200,5e-05,0.01,bert-base-cased,12,0.5,0.1,2022-04-04_18.38.54.835873,88.62252663622529,88.10854948145833,15.032948929159804,0.7786336341853745,15.032948929159804,1.663641863278887,0.2514765081419104,0.7786336341853745,3.0,False,11.0,0.5
ner_f1_macro,docRed_bert_train_lvl,2,629,8,20,200,200,5e-05,0.1,bert-base-cased,1,0.5,0.2,2022-04-02_15.54.11.598914,88.56444384082576,87.51997510643204,57.767607424358005,28.85479709821751,57.41164505466565,35.57008747605699,26.06490367188696,28.33995572386095,20.0,False,11.0,
ner_f1_macro,docRed_bert_train_lvl,3,628,12,30,200,200,3e-05,0.0,bert-base-cased,12,0.5,0.2,2022-04-04_02.30.54.745259,88.45613656006914,87.33920125557133,60.01218521527214,32.91514779858216,59.707554833468734,36.7700054395212,27.91216072718153,32.31433702606784,30.0,False,11.0,0.5
ner_f1_macro,docRed_bert_train_lvl,4,630,12,30,200,200,5e-05,0.01,bert-base-cased,12,0.5,0.2,2022-04-04_06.37.09.385758,88.3480985306828,87.20721630523974,60.57224025974026,34.14078959352184,60.06493506493506,37.67371663686051,28.861312627389086,33.3032087239118,30.0,False,11.0,0.5
ner_f1_macro,docRed_rob_train_lvl,0,214,8,30,200,200,3e-05,0.1,roberta-base,1,0.5,0.2,2022-04-04_20.29.00.322642,87.54763200870987,86.26473850958098,59.21052631578948,22.63043228049088,58.94736842105264,29.313390419219747,14.95447048888262,22.313492763224477,30.0,False,11.0,0.5
ner_f1_macro,docRed_rob_train_lvl,1,212,8,30,200,200,3e-05,0.0,roberta-base,1,0.5,0.2,2022-04-05_01.50.51.744269,87.5461555169418,86.1707379452044,58.77308707124011,20.315200268270708,58.31134564643799,25.626102475005187,13.284510292239563,19.76695625554884,30.0,False,11.0,0.5
ner_f1_macro,docRed_rob_train_lvl,2,207,8,30,200,200,3e-05,0.1,roberta-base,1,0.5,0.1,2022-04-04_23.10.02.989790,87.36719427580226,86.13343592934991,59.15584415584415,20.7562925802915,58.76623376623377,26.6719702562957,14.08195131440525,20.33053183527221,30.0,False,11.0,0.5
ner_f1_macro,docRed_rob_train_lvl,3,209,8,30,200,200,3e-05,0.0,roberta-base,1,0.5,0.1,2022-04-05_04.27.46.671195,87.17426710097718,85.93764367441761,59.28497942386832,22.4515905398182,58.89917695473251,30.1737295458702,14.859158392906297,21.82583349687677,30.0,False,11.0,0.5
ner_f1_macro,docRed_rob_train_lvl,4,210,8,30,200,200,5e-05,0.1,roberta-base,1,0.5,0.1,2022-04-05_09.47.37.728639,87.01944080384447,85.78792376695564,58.64509605662286,25.39330332329528,58.076339737108185,32.017471348078374,17.681136709316007,23.96894485956877,30.0,False,11.0,0.5
ner_f1_macro,scierc_bert_train,0,48,4,20,100,100,5e-05,0.02,allenai/scibert_scivocab_cased,1,0.4,0.1,2022-03-26_16.17.02.300171,73.224043715847,72.0682761184699,49.72004479283314,49.307465243790645,41.43337066069429,42.977317732024616,38.0372886882484,39.70655025944135,20.0,,,
ner_f1_macro,scierc_bert_train,1,65,4,20,100,100,4e-05,0.015,allenai/scibert_scivocab_cased,1,0.4,0.2,2022-03-26_19.13.51.567575,73.03303303303302,71.78489726497381,47.72475027746948,46.83917860011434,39.51165371809101,39.29710219061504,35.975976899334285,37.09182109166783,20.0,,,
ner_f1_macro,scierc_bert_train,2,50,4,20,100,100,5e-05,0.02,allenai/scibert_scivocab_cased,1,0.4,0.2,2022-03-26_16.28.45.152161,72.65110712148413,71.64459608908844,50.0,49.682922493636525,41.44736842105263,42.27967880652558,39.25539767319115,39.92861267066573,20.0,,,
ner_f1_macro,scierc_bert_train,3,53,4,20,100,100,4e-05,0.01,allenai/scibert_scivocab_cased,1,0.4,0.2,2022-03-26_19.47.28.399165,72.57485029940119,71.44725808086764,50.27932960893855,49.58678956303648,42.68156424581005,44.43739993676782,38.347446892576805,40.461081480291945,20.0,,,
ner_f1_macro,scierc_bert_train,4,58,4,20,100,100,5e-05,0.02,allenai/scibert_scivocab_cased,1,0.4,0.0,2022-03-26_16.05.11.410843,73.03303303303302,71.44045989974178,50.22222222222222,50.30612436409538,42.888888888888886,42.98993301576655,40.26988460506119,41.05571830209512,20.0,,,
ner_f1_macro,scierc_elec_train,0,224,4,20,125,100,6e-05,0.02,kamalkraj/bioelectra-base-discriminator-pubmed,1,0.5,0.1,2022-03-22_20.15.48.486074,69.41031941031942,67.94868352617928,43.73576309794988,42.290068386031,33.94077448747153,32.62421456037612,29.97466293177387,30.97763037204003,20.0,,,
