,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
101,conll04_bert_train,2022-03-24_18.02.38.150398,83.4478691253116,70.70420638810158,70.70420638810158,87.26864834548513,69.20731707317074,69.20731707317074,4,20,100,100,5e-05,0.01,1,0.4,0.0
102,conll04_bert_train,2022-03-24_13.45.47.289956,82.1930178084298,66.79395440271642,66.50824011700213,86.05927552140506,65.48148148148148,65.18518518518518,4,20,100,100,1e-05,0.1,1,0.5,0.0
103,conll04_bert_train,2022-03-24_12.34.52.123590,73.93643145558855,55.67449046373787,55.67449046373787,79.40074906367042,55.15320334261838,55.15320334261838,4,20,100,100,5e-06,0.005,1,0.5,0.1
104,conll04_bert_train,2022-03-24_11.08.27.152037,76.39668508127252,59.02385872280567,59.02385872280567,81.80336773492667,58.48787446504993,58.48787446504993,4,20,100,100,5e-06,0.05,1,0.5,0.0
105,conll04_bert_train,2022-03-24_18.28.06.063987,84.57056197825197,71.38919786096257,71.38919786096257,87.75280898876404,70.1095461658842,70.1095461658842,4,20,100,100,5e-05,0.01,1,0.5,0.1
106,conll04_bert_train,2022-03-24_13.32.01.674321,82.33155828734871,67.84090113009974,67.84090113009974,86.2809917355372,66.57060518731988,66.57060518731988,4,20,100,100,1e-05,0.1,1,0.4,0.1
107,conll04_bert_train,2022-03-24_18.52.59.253355,83.76592122068571,71.20081979037887,70.88335947291856,87.45075970737197,70.13782542113324,69.83154670750382,4,20,100,100,5e-05,0.005,1,0.4,0.2
108,conll04_bert_train,2022-03-24_20.52.46.381432,82.61110836719028,70.820150974763,70.820150974763,86.3406408094435,69.70172684458399,69.70172684458399,4,20,100,100,0.0001,0.05,1,0.5,0.0
109,conll04_bert_train,2022-03-24_20.59.00.634490,83.79245519100584,69.58743930609414,69.2595704536351,87.49286122215877,68.65671641791045,68.3250414593698,4,20,100,100,0.0001,0.05,1,0.5,0.1
110,conll04_bert_train,2022-03-24_14.46.20.788837,82.35642846721883,67.59818068641597,67.59818068641597,86.71875,66.57142857142857,66.57142857142857,4,20,100,100,1e-05,0.01,1,0.4,0.0
111,conll04_bert_train,2022-03-24_13.52.18.401850,82.65182148389108,66.19074750179772,66.19074750179772,86.17614269788182,64.99999999999999,64.99999999999999,4,20,100,100,1e-05,0.1,1,0.5,0.1
112,conll04_bert_train,2022-03-24_10.11.21.546339,74.78161995994816,55.913825444173405,55.66066088721138,79.87220447284345,55.07614213197969,54.82233502538071,4,20,100,100,5e-06,0.1,1,0.4,0.0
113,conll04_bert_train,2022-03-24_14.59.42.029512,81.63926432619856,64.47615052228424,64.47615052228424,85.55738605162,63.41463414634148,63.41463414634148,4,20,100,100,1e-05,0.01,1,0.4,0.2
114,conll04_bert_train,2022-03-24_12.08.09.256728,76.03497198143549,56.97056278249877,56.97056278249877,81.79848320693391,57.03611457036114,57.03611457036114,4,20,100,100,5e-06,0.005,1,0.4,0.0
115,conll04_bert_train,2022-03-24_10.36.00.136194,68.78528017922638,49.93047041198288,49.93047041198288,75.18401682439539,50.194049159120304,50.194049159120304,4,20,100,100,5e-06,0.1,1,0.5,0.1
